Player ID,Name,Last Name,Cost Today,Form,Position,Team,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Points,Points/Game,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Chance Of Playing Next,Total Cost Change,Cost Change GW,Total Transfers Out,Transfers Out GW,Total Transfers in,Transfers in GW,Influence,Creativity,Threat,ICT Index,Last GW,GW38,GW39,GW40,GW41,GW42,GW43,Difficulty Score,Cost Today,Total Cost Change,Cost Change GW,Position,Team,Index,xGi,xGc
672,Nicolò,Zaniolo,£5.40,0.2,MID,Aston Villa,0,2,0,2,1,34,1.4,0,36,13,824,7,0,0,0,0,75,-£0.10,£0.00,14068,27,14503,6,146.8,120.1,357,61.9,37,CRY (A),,,,,,2,54,-1,0,3,7,0.1,0.37,1.55
686,Oliwier,Zych,£4.00,0,GK,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,6256,6,6697,0,0,0,0,0,37,CRY (A),,,,,,2,40,0,0,1,7,0,0,0
699,Clément,Lenglet,£4.50,0,DEF,Aston Villa,0.2,0,1,2,0,25,1.9,0,197,22,1063,2,0,0,0,0,100,£0.00,£0.00,36477,207,47634,61,241.2,40.7,103,38.4,37,CRY (A),,,,,,2,45,0,0,2,7,0,0.11,1.78
765,Sam,Proctor,£4.00,0,GK,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,912,17,1518,26,0,0,0,0,37,CRY (A),,,,,,2,40,0,0,1,7,0,0,0
767,Tommi,O'Reilly,£4.50,0,MID,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,287,0,308,0,0,0,0,0,37,CRY (A),,,,,,2,45,0,0,3,7,0,0,0
778,James,Wright,£4.00,0,GK,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,602,29,1072,46,0,0,0,0,37,CRY (A),,,,,,2,40,0,0,1,7,0,0,0
793,Kaine,Kesler-Hayden,£4.00,0.2,DEF,Aston Villa,0,0,0,0,0,2,1,0,6,0,2,0,0,0,0,0,,£0.00,£0.00,1200,27,2257,48,0,0,0,0,37,CRY (A),,,,,,2,40,0,0,2,7,0.1,0,4.95
803,Morgan,Rogers,£5.00,3.5,MID,Aston Villa,0,3,1,2,0,35,3.2,0,114,13,636,3,0,0,0,0,75,£0.00,£0.00,3782,404,6562,19,177.8,118.4,150,44.5,37,CRY (A),,,,,,2,50,0,0,3,7,1.75,0.24,2.06
818,Joe,Gauci,£3.90,0,GK,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-£0.10,£0.00,325,9,641,18,0,0,0,0,37,CRY (A),,,,,,2,39,-1,0,1,7,0,0,0
854,Finley,Munroe,£4.00,0,DEF,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,65,11,279,29,0,0,0,0,37,CRY (A),,,,,,2,40,0,0,2,7,0,0,0
62,Jaidon,Anthony,£4.90,0,MID,Bournemouth,0,0,0,0,0,3,1,0,4,5,151,1,0,0,0,0,0,-£0.10,£0.00,12959,5,1618,0,9,4.6,16,3,37,CHE (A),,,,,,3,49,-1,0,3,91,0,0.05,2.65
63,Philip,Billing,£5.10,0.4,MID,Bournemouth,0.3,2,3,2,0,59,2.1,3,224,36,1364,3,1,0,0,0,100,-£0.40,£0.00,123984,156,72541,71,303.8,313.1,266,88.1,37,CHE (A),,,,,,3,51,-4,0,3,91,0.1333333333,0.31,1.9
64,David,Brooks,£4.70,0,MID,Bournemouth,0,1,1,0,0,23,1.8,2,71,7,271,1,0,0,0,0,0,-£0.30,£0.00,16285,10,9628,0,88.2,112.4,113,31.4,37,CHE (A),,,,,,3,47,-3,0,3,91,0,0.97,2.02
